5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Puas,Pertanyaan tidak relevan,Diskusi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Memberikan ilmu yang baru dan bermanfaat,Semuanya,Belum ada,Direkomendasikan,"Memberikan ilmu baru, relasi teman dan perusahaan, berkesempatan untuk magang",Mendapatkan ilmu yang baru dan bermanfaat,sudah baik
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan relasi dengan teman dari berbagai prodi dan angkatan dan materi yang up to date di zaman sekarang (mengenai AI),Informatif,Belum ada,Direkomendasikan,N/A,"Mendapatkan teman baru, mendapatkan insight baru mengenai AI yang belum pernah digunakan dan metode2 menggunakan AI yang berguna untuk kehidupan sehari-hari",Belum ada
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,relasi antar peserta dan mentor sekaligus gambaran industri serta materi yang dijelaskan sangat bermanfaat,sistem pembelajarannya,mengunjungi kantor atau berkontribusi langsung,Sangat direkomendasikan,N/A,saat menyusun capstone project yang langsung terjun ke UMKM Di Yogya dan proses diskusi oleh rekan rekan yang banyak menambah insight baru,tisak ada
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Mendapatkan ilmu baru dari praktisi langsung,Belajar secara interaktif,Cara tembus magang atau MT atau kerja pada mitra,Direkomendasikan,Karena mendapatkan kesempatan belajar langsung dengan mitra,Kelas yang interaktif,Mungkin bisa dikasih konsumsi ehehe
Sangat puas,Ga ada,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,"Pertanyaan tidak relevan, ",Bisa belajar banyak tentang ilmu baru,Interaktif nya ,Waktu liat langsung perusahaan mitra live perusahaan mitra,Sangat direkomendasikan,Karena sangat bermanfaat,Wahh acaranya seru dan bisa ketemu orang hebat,Sudah sangat baik
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu panjang,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Menambah skill dan pengalaman,Mitra perusahaan yang oke,-,Direkomendasikan,Lebih dekat ke industri,Menyenangkan karena benar-benar mengasah skill,Pengumuman jadwal tiap kelas sebaiknya sejak awal
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Lebih mengenal perusahaan mitra baik secara upstream hingga downstream,Menghadirkan perusahaan-perusahaan top tier untuk mengembangkan pengetahuan mahasiswa,Menambahkan relevansi dari prodi di mitra yang bersangkutan,Sangat direkomendasikan,N/A,Pengalaman yg berkesan yang didapatkan selama kegiatan GIKnowledge Building adalah mendapatkan insight luar biasa dari praktisi terbaik dari Mitra terkait,Tidak ada
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Jadi menambah relasi,Kegiatan interaktif ,Project dilakukan dengan persiapan lebih matang,Sangat direkomendasikan,Menambah relasi baru dengan sesama teman yang tertarik dengan pengembangan diri menuju karir di masa depan,Bisa berinteraksi dan membantu UMKM secara langsung,Diberikan dana untuk project UMKM sehingga hasilnya bisa maksimal
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Insight mengenai dunia profesional terutama penerapan teknologi AI dalam sebuah perusahaan,Sharing about what inside the company and how do we get there.,Perbanyak kegiatan praktik dan evaluasi kinerja dari masing-masing pelaksanaannya.,Direkomendasikan,Membuka pikiran mengenai how company works.,Banyak tools yang dipakai perusahaan yang saya baru mengetahuinya,Lebih lama lagi kelasnya dan perbanyak kegiatan praktikal serta evaluasi atau mentoring dari ahli company tersebut supaya peserta juga dapat lebih berkembang dan mana tau sedikit lebih siap apabila dibutuhkan atau dibuka program magang or management trainee dari company tersebut.
Puas,Penyampaian materi oleh mentor kurang menarik,Kegiatan interaktif,Sangat puas,Sangat tidak puas,Materi dan/atau topik kurang relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,jejaring komeksi,tidak ada,tambahkan kunjungan ke industri dan cari industri yang bener bener jangan namanya mining tapi tidak ada mining sama sekali di penjelasan kelas,Tidak direkomendasikan,tidak rekomendasi apabila perusahaan tidak relevan dan sangat rekomendasi apabila topik sesuai,teman yang banyak,tambahkan perusahaan yang baguss
